Bridgetown,Lima,plane,18.33,874,,,,,,,
Bridgetown,London,plane,18.25,1300,,,,,,,
Bridgetown,Pretoria (Use Johannesburg),plane,32.25,2122,,,,,,,
Bridgetown,Singapore,plane,34.5,2300,,,,,,,
Bridgetown,Washington DC,plane,9.75,570,,,,,,,
Brussels,Amsterdam,bus,2.75,14.22,,,,,,,
Brussels,Amsterdam,train,2.78,46.56,,,,,,,
Brussels,Berlin,bus,14,63.36,,,,,,,
Brussels,Berlin,train,6.72,153.91,,,,,,,
Brussels,Canberra (Use Sydney),plane,27,937,,,,,,,
Brussels,Lima,plane,18.08,1171,,,,,,,
Brussels,London,plane,2.02,65,,,,,,,
Brussels,Luxembourg,train,2.85,48.65,,,,,,,
Brussels,Paris,train,1.42,50.46,,,,,,,
Brussels,Paris,bus,3.75,32.33,,,,,,,
Brussels,Pretoria (Use Johannesburg),plane,17.5,483,,,,,,,
Brussels,Singapore,plane,20.58,558,,,,,,,
Brussels,Washington DC,plane,10.92,779,,,,,,,
Bucuresti,Belgrade,train,22.27,225,,,,,,,
Bucuresti,Budapest,train,16.16,133,,,,,,,
Bucuresti,Canberra (Use Sydney),plane,31.92,1551,,,,,,,
Bucuresti,Chisinau ,train,9.37,225,,,,,,,
Bucuresti,Kiev,train,38.47,225,,,,,,,
Bucuresti,Lima,plane,28.25,1651,,,,,,,
Bucuresti,London,plane,3.4,164,,,,,,,
Bucuresti,Pretoria (Use Johannesburg),plane,18,1055,,,,,,,
Bucuresti,Singapore,plane,13.56,1012,,,,,,,
Bucuresti,Sofia,train,10.22,225,,,,,,,
Bucuresti,Washington DC,plane,13.16,848,,,,,,,
Budapest,Belgrade,train,8.33,86,,,,,,,
Budapest,Bratislava,train,3,22,,,,,,,
Budapest,Bucuresti,train,14,38,,,,,,,
Budapest,Canberra (Use Sydney),plane,27,1100,,,,,,,
Budapest,Georgetown,plane,35,3114,,,,,,,
Budapest,Kiev,train,25.25,110,,,,,,,
Budapest,Lima,plane,20,1800,,,,,,,
Budapest,London,plane,3,250,,,,,,,
Budapest,Prague,train,7,25,,,,,,,
Budapest,Pretoria (Use Johannesburg),plane,17,1000,,,,,,,
Budapest,Singapore,plane,17,1000,,,,,,,
Budapest,Vienna,train,4,20,,,,,,,
Budapest,Warsaw,train,11,38,,,,,,,
Budapest,Washington DC,plane,17,1700,,,,,,,
Budapest,Zagreb,train,6.5,62,,,,,,,
Buenos Aires,Asuncion,bus,17,82,,,,,,,
Buenos Aires,La Paz,bus,36,78,,,,,,,
Buenos Aires,Montevideo,bus,8,370,,,,,,,
Buenos Aires,Santiago,plane,2.2,150,,,,,,,
Bujumbura,Canberra (Use Sydney),plane,32.17,2567,,,,,,,
Bujumbura,Kigali,bus,6,7.34,,,,,,,
Bujumbura,Kinshasa,plane,10.08,907,,,,,,,
Bujumbura,Lima,plane,46.58,1897,,,,,,,
Bujumbura,London,plane,19.67,1186,,,,,,,
Bujumbura,Pretoria (Use Johannesburg),plane,3.33,395,,,,,,,
Bujumbura,Singapore,plane,32.33,1567,,,,,,,
Bujumbura,Washington DC,plane,29.08,1558,,,,,,,
Cairo,Abuja,plane,16,971,,,,,,,
Cairo,Addis Ababa,plane,3,221,,,,,,,
Cairo,Amman,bus,20,42.37,,,,,,,
Cairo,Ankara,plane,5,470,,,,,,,
Cairo,Canberra (Use Sydney),plane,18.55,846,,,,,,,
Cairo,Jerusalem,bus,13,145,, listed on bus owner's site. ",,,,,
Cairo,Khartoum,train,48,198.9,,,,,,,
Cairo,Lima,plane,10.35,914,,,,,,,
Cairo,London,plane,8,286,,,,,,,
Cairo,Rome,plane,3.2,334,,,,,,,
Cairo,Singapore,plane,14.25,425,,,,,,,
Cairo,Sofia,plane,5,463,,,,,,,
Cairo,Tripoli,plane,3.75,1266,,,,,,,
Cairo,Washington DC,plane,21.05,470,,,,,,,
Canberra (Use Sydney),Abu Dhabi,plane,24,1339,,,,,,,
Canberra (Use Sydney),Amsterdam,plane,21.3,804,,,,,,,
Canberra (Use Sydney),Asmara,plane,44,3284,,,,,,,
Canberra (Use Sydney),Asuncion,plane,57,2129,,,,,,,
Canberra (Use Sydney),Athens,plane,21.83,870,,,,,,,
Canberra (Use Sydney),Baghdad,plane,44,1166,,,,,,,
Canberra (Use Sydney),Baku,plane,51,2200,,,,,,,
Canberra (Use Sydney),Bangui,plane,60,4170,,,,,,,
Canberra (Use Sydney),Beijing,plane,28,816,,,,,,,
Canberra (Use Sydney),Belgrade,plane,36.25,1735,,,,,,,
Canberra (Use Sydney),Belmopan,plane,51.92,3661,,,,,,,
Canberra (Use Sydney),Berlin,plane,41.83,1013,,,,,,,
Canberra (Use Sydney),Bern,plane,28.5,2050,,,,,,,
Canberra (Use Sydney),Bogota,plane,42.32,2234,,,,,,,
Canberra (Use Sydney),Bogota,plane,32,2303,,,,,,,
Canberra (Use Sydney),Brasilia,plane,27,2831,,,,,,,
Canberra (Use Sydney),Brasilia,plane,52,2804,,,,,,,
